sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
10556,19043128,-1335,-2617,-5489,284,2208,443
10557,19043138,-1403,-1791,-5111,-1906,4564,471
10558,19043148,-1083,-1637,-4155,-2204,6481,998
10559,19043158,-771,-1296,-3433,-2761,8011,802
10560,19043168,-682,-1272,-2481,-2672,8977,959
10561,19043178,-688,-1333,-1335,-2368,9610,1074
10562,19043188,-642,-1479,-154,-2379,10398,1004
10563,19043198,-802,-1688,713,-2686,11257,952
10564,19043208,-816,-2073,1563,-2797,11617,855
10565,19043218,-800,-2483,2245,-2808,11068,597
10566,19043228,-530,-2327,2439,-3448,9788,-31
10567,19043238,-234,-2449,2105,-3840,7859,-755
10568,19043248,-133,-2682,1258,-3532,5420,-607
10569,19043258,-496,-2825,546,-2548,2616,7
10570,19043268,-690,-2865,173,-1020,840,-88
10571,19043278,-615,-2660,-59,-257,260,-735
10572,19043288,-422,-2485,-141,24,165,-996
10573,19043298,-330,-2425,-321,-84,121,-793
10574,19043308,-284,-2567,-599,-151,-23,-385
10575,19043318,-207,-2618,-1142,-343,-204,-102
10576,19043328,-89,-2489,-1839,-683,-265,-234
10577,19043338,26,-2209,-2489,-843,-249,-514
10578,19043348,130,-1940,-2791,-547,100,-713
10579,19043358,287,-1724,-2781,-47,656,-781
10580,19043368,314,-1525,-2577,738,1011,-610
10581,19043378,390,-1356,-2255,1860,1151,-512
10582,19043375,391,-1357,-2255,1860,1150,-413
10583,19043385,434,-1283,-1876,3098,1131,-54
10584,19043395,479,-1390,-1278,4622,858,457
10585,19043405,433,-1386,-398,6220,404,779
10586,19043415,527,-1289,734,7701,-174,791
10587,19043425,674,-1306,1751,8954,-863,706
10588,19043435,639,-1447,2411,9640,-1838,959
10589,19043445,465,-1560,2700,9561,-2941,1439
10590,19043455,340,-1689,2737,8985,-4052,1950
10591,19043465,162,-2406,2297,8107,-5232,2493
10592,19043475,-129,-2565,1493,6780,-6699,3326
10593,19043485,-278,-2853,467,5744,-7905,3482
10594,19043495,-478,-3142,-916,4434,-7301,2426
10595,19043505,-103,-2896,-1479,2663,-4220,114
10596,19043515,348,-2345,-1226,486,-345,-1775
10597,19043525,706,-1962,-651,-1442,2108,-2280
10598,19043535,767,-1304,-158,-2994,2967,-1800
10599,19043545,956,-1090,-59,-4537,3379,-1724
10600,19043555,888,-1212,-194,-5814,3654,-966
10601,19043565,587,-1345,-174,-6725,3800,-39
10602,19043575,447,-1549,3,-6935,4102,158
10603,19043585,221,-1783,70,-6813,4200,188
10604,19043595,110,-1917,63,-6205,3991,61
10605,19043605,201,-1922,99,-5287,3585,-400
10606,19043615,341,-1834,22,-4441,2790,-882
10607,19043625,396,-1659,-182,-3616,1630,-1024
10608,19043621,396,-1659,-182,-3615,1629,-938
10609,19043631,388,-1611,-475,-2485,490,-630
10610,19043641,299,-1644,-662,-1202,-420,-186
10611,19043651,164,-1802,-749,-79,-1075,279
10612,19043661,49,-2007,-849,640,-1468,691
10613,19043671,-27,-2147,-962,902,-1634,952
10614,19043681,-87,-2218,-1020,996,-1552,951
10615,19043691,-38,-2224,-1067,914,-1312,795
10616,19043701,71,-2179,-1118,740,-1096,612
10617,19043711,154,-2094,-1166,488,-901,378
10618,19043721,224,-1935,-1208,191,-762,144
10619,19043731,310,-1801,-1281,-53,-676,-50
10620,19043741,348,-1698,-1368,-147,-629,-60
10621,19043751,295,-1690,-1450,-104,-612,80
10622,19043761,288,-1881,-1484,78,-587,286
10623,19043771,236,-1840,-1537,202,-597,549
10624,19043781,262,-2130,-1429,352,-601,620
10625,19043791,110,-1860,-1313,590,-472,534
10626,19043801,218,-1773,-1196,541,-509,179
10627,19043811,283,-1704,-1127,938,-426,-25
10628,19043821,254,-1661,-1026,1074,-398,56
10629,19043831,197,-1688,-954,1089,-454,181
10630,19043841,180,-1695,-1006,997,-494,228
10631,19043851,115,-1747,-1044,928,-454,239
10632,19043861,74,-1789,-1042,970,-300,122
10633,19043871,91,-1712,-1047,962,-228,-256
10634,19043868,91,-1713,-1047,963,-229,-22
10635,19043878,144,-1643,-1094,957,-239,-98
10636,19043888,135,-1634,-1130,1053,-253,-112
10637,19043898,138,-1698,-1100,1189,-210,-43
10638,19043908,173,-1682,-1045,1158,-162,37
10639,19043918,179,-1695,-1002,1123,-234,230
10640,19043928,126,-1794,-953,1198,-331,431
10641,19043938,164,-1704,-989,1128,-363,398
10642,19043948,158,-1738,-958,925,-361,330
10643,19043958,175,-1741,-994,974,-249,100
10644,19043968,181,-1753,-1050,883,-251,4
10645,19043978,212,-1682,-1138,742,-273,1
10646,19043988,172,-1691,-1223,816,-190,-91
10647,19043998,175,-1700,-1218,920,-102,-172
10648,19044008,199,-1719,-1147,1107,-33,-157
10649,19044018,200,-1716,-1091,1156,-19,-118
10650,19044028,200,-1666,-1061,1153,-65,-108
10651,19044038,162,-1685,-1054,1203,-186,30
10652,19044048,153,-1757,-1060,1306,-295,161
10653,19044058,138,-1751,-1016,1261,-296,154
10654,19044068,106,-1780,-987,1262,-257,67
10655,19044078,124,-1760,-998,1167,-260,34
10656,19044088,140,-1767,-1012,1069,-280,0
10657,19044098,94,-1768,-1046,1002,-256,-11
10658,19044108,106,-1733,-1044,983,-239,-80
10659,19044118,117,-1744,-1069,977,-234,-256
10660,19044115,118,-1745,-1069,978,-234,-125
10661,19044125,102,-1725,-1143,956,-253,-137
10662,19044135,58,-1750,-1163,1008,-214,-195
10663,19044145,81,-1757,-1094,1157,-128,-265
10664,19044155,200,-1694,-1023,1208,-82,-327
10665,19044165,144,-1714,-988,1226,-90,-305
10666,19044175,172,-1796,-1023,1236,-123,-232
10667,19044185,78,-1944,-1172,1053,-122,-69
10668,19044195,71,-1744,-987,1062,-121,-25
10669,19044205,45,-1840,-1141,1167,-3,-92
10670,19044215,199,-1897,-1019,972,-109,-37
10671,19044225,144,-1751,-1059,1014,5,-88
10672,19044235,164,-1744,-988,1022,-23,-86
10673,19044245,196,-1720,-993,924,-64,-56
10674,19044255,238,-1649,-945,912,-73,-129
10675,19044265,263,-1615,-898,941,-69,-163
10676,19044275,265,-1614,-846,942,-109,-182
10677,19044285,300,-1549,-856,875,-162,-239
10678,19044295,294,-1620,-919,865,-259,-186
10679,19044305,189,-1728,-1038,868,-342,30
10680,19044315,136,-1806,-1022,959,-368,260
10681,19044325,155,-1824,-1036,963,-415,313
10682,19044335,172,-1793,-1084,946,-403,183
10683,19044345,143,-1776,-1138,961,-346,63
10684,19044355,131,-1758,-1127,994,-240,-34
10685,19044365,145,-1795,-1145,1040,-133,-256
10686,19044361,146,-1796,-1144,1041,-133,-164
10687,19044371,120,-1826,-1174,1016,-55,-282
10688,19044381,68,-1830,-1244,970,114,-442
10689,19044391,88,-1877,-1253,967,434,-746
10690,19044401,145,-1987,-1171,1056,810,-1132
10691,19044411,-136,-1939,-1142,923,916,-1302
10692,19044421,268,-1847,-1013,430,829,-1632
10693,19044431,322,-1385,-873,113,727,-1735
10694,19044441,603,-628,-409,398,518,-1896
10695,19044451,656,-632,-286,1425,-90,-988
10696,19044461,813,-620,-349,1796,-766,250
10697,19044471,963,-4527,-1356,1638,-1445,1411
10698,19044481,-582,-1029,-1638,-551,-1599,2305
10699,19044491,465,-3337,-1679,361,-1122,699
10700,19044501,-66,-1883,-1551,-389,-1011,758
10701,19044511,303,-1718,-1306,-14,-997,169
10702,19044521,178,-1668,-1256,320,-845,173
10703,19044531,220,-1742,-1311,605,-756,204
10704,19044541,140,-1686,-1336,566,-624,76
10705,19044551,147,-1689,-1300,708,-433,-68
10706,19044561,197,-2009,-1280,827,-310,-158
10707,19044571,-411,-628,-1014,473,-400,-70
10708,19044581,497,-1640,-1237,917,-38,-883
10709,19044591,156,-1694,-1261,1193,-32,-589
10710,19044601,120,-1820,-1407,969,-125,-282
10711,19044611,-86,-1871,-1631,904,-168,-512
10712,19044608,-85,-1871,-1631,905,-169,-474
10713,19044618,-47,-1913,-1706,775,-197,-641
10714,19044628,-27,-1864,-1766,847,-162,-1052
10715,19044638,46,-1808,-1723,1370,-196,-1082
10716,19044648,54,-1730,-1701,1742,-303,-1190
10717,19044658,12,-1564,-1653,1925,-336,-1269
