sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3432,16819483,-1924,-3215,6038,-2429,-1472,-1746
3433,16819493,-2206,-2694,5250,159,-8038,192
3434,16819503,-2515,-2175,4321,1649,-12593,1399
3435,16819513,-2837,-2151,3804,3088,-15018,1442
3436,16819523,-3137,-2056,3419,4163,-16401,1340
3437,16819533,-3464,-1901,3071,4063,-16848,1154
3438,16819543,-4047,-1492,2467,2746,-16910,1196
3439,16819553,-4529,-927,1602,723,-16694,1068
3440,16819563,-4915,-407,431,-1277,-16138,956
3441,16819573,-5154,-375,-919,-2184,-14944,470
3442,16819583,-5096,-1880,-2483,-1756,-12959,-482
3443,16819593,-3884,-2517,-5506,-2105,-10976,-855
3444,16819603,-3498,-4190,-8972,-1955,-9788,228
3445,16819613,-4186,-4731,-9535,-425,-8400,1766
3446,16819623,-3910,-4810,-7124,2916,-4009,322
3447,16819633,-3306,-3739,-4849,3679,1498,-2583
3448,16819643,-2729,-2132,-3628,1266,4293,-4489
3449,16819653,-2219,-905,-3226,-993,5303,-4415
3450,16819663,-1800,-517,-2958,-1562,5908,-3670
3451,16819673,-1527,-373,-2803,-1030,6686,-2874
3452,16819683,-1350,-467,-2438,-189,7551,-2344
3453,16819693,-1237,-510,-1962,418,8601,-2012
3454,16819703,-1272,-551,-1267,599,9764,-1627
3455,16819713,-1308,-646,-315,463,11038,-1085
3456,16819723,-1591,-776,670,-119,12231,-174
3457,16819733,-2044,-874,1775,-877,13244,768
3458,16819729,-2044,-874,1776,-877,13244,977
3459,16819739,-2673,-1073,2870,-1680,14221,2146
3460,16819749,-3278,-1257,4268,-2626,14999,3278
3461,16819759,-3519,-2146,5675,-3545,15617,3992
3462,16819769,-3535,-3474,7157,-3417,15477,3949
3463,16819779,-3168,-4532,8060,-2186,13523,1756
3464,16819789,-2372,-4821,7598,-1426,9162,-1430
3465,16819799,-2028,-4138,5881,-3521,2082,-1828
3466,16819809,-2382,-3817,4828,-2362,-5309,389
3467,16819819,-2716,-3360,4209,372,-10867,1368
3468,16819829,-2790,-2698,3522,1739,-14090,1031
3469,16819839,-3026,-2446,3057,3145,-15779,754
3470,16819849,-3357,-2194,2750,3682,-16561,580
3471,16819859,-3768,-1840,2271,3118,-16771,276
3472,16819869,-4299,-1276,1663,1534,-16536,-21
3473,16819879,-4645,-816,884,-120,-15911,-160
3474,16819889,-4855,-305,-180,-1780,-15128,-197
3475,16819899,-4849,-135,-1702,-2582,-13948,-286
3476,16819909,-4651,-2263,-3756,-1602,-12458,-266
3477,16819919,-4071,-3338,-6555,-1540,-11098,748
3478,16819929,-5138,-4516,-9186,-1593,-10678,2418
3479,16819939,-4743,-4563,-8379,176,-7795,1549
3480,16819949,-4099,-4064,-5906,2725,-1803,-1171
3481,16819959,-3498,-3030,-4163,2476,3338,-3591
3482,16819969,-2943,-1757,-3175,262,5673,-4748
3483,16819979,-2420,-791,-2902,-1263,6501,-4866
3484,16819976,-2420,-791,-2901,-1262,6500,-4817
3485,16819986,-1984,-299,-2682,-1155,6888,-4403
3486,16819996,-1604,-106,-2396,190,7647,-4248
3487,16820006,-1264,-201,-1943,1664,8570,-3996
3488,16820016,-1138,-249,-1468,2221,9131,-3549
3489,16820026,-1086,-307,-625,1996,9619,-2874
3490,16820036,-1197,-468,306,1231,10460,-1904
3491,16820046,-1678,-592,1420,57,11573,-617
3492,16820056,-2211,-531,2648,-1063,13118,705
3493,16820066,-2973,-866,4121,-1953,14787,1963
3494,16820076,-3179,-1151,5498,-3219,16294,3142
3495,16820086,-3066,-2452,6858,-4695,17643,3988
3496,16820096,-3277,-3607,7405,-4875,17328,4076
3497,16820106,-2797,-4783,7997,-2891,14534,785
3498,16820116,-1736,-4861,7060,-2512,8475,-2857
3499,16820126,-2012,-4313,5404,-4022,461,-1714
3500,16820136,-2319,-3552,4903,-1608,-6978,444
3501,16820146,-2685,-2559,3963,39,-12072,999
3502,16820156,-2799,-2004,3259,1146,-14629,571
3503,16820166,-3104,-2050,2995,2853,-15991,362
3504,16820176,-3501,-2029,2778,3570,-16478,171
3505,16820186,-3975,-1730,2312,2932,-16376,90
3506,16820196,-4468,-1261,1643,1335,-16023,64
3507,16820206,-4851,-824,813,-234,-15563,-25
3508,16820216,-4992,-293,-291,-1613,-14945,-101
3509,16820226,-5028,-365,-1656,-1958,-13992,-256
3510,16820223,-5028,-366,-1656,-1957,-13993,-254
3511,16820233,-4696,-2200,-3762,-1289,-13011,-29
3512,16820243,-4615,-2782,-5990,-1556,-12744,1451
3513,16820253,-5554,-3861,-8062,-1460,-12329,3092
3514,16820263,-5184,-4220,-7949,-157,-9523,2269
3515,16820273,-4522,-3802,-6381,1477,-4444,-345
3516,16820283,-4017,-2976,-4864,1699,1527,-2624
3517,16820293,-3392,-1744,-3689,436,5425,-4560
3518,16820303,-2743,-811,-3074,-444,7420,-5242
3519,16820313,-2118,-70,-2530,-417,8192,-4806
3520,16820323,-1576,77,-2012,544,8460,-4138
3521,16820333,-1349,-104,-1548,1675,8716,-3192
3522,16820343,-1103,-201,-1271,2014,9085,-2734
3523,16820353,-993,-319,-813,1786,9557,-2146
3524,16820363,-1041,-548,-65,1365,10480,-1255
3525,16820373,-1401,-762,937,724,11870,-149
