sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,16148898,-608,690,-1726,397,627,-176
1,16148908,-485,645,-1918,365,463,-253
2,16148918,-480,702,-1799,295,275,-227
3,16148928,-284,3,-2141,207,199,-73
4,16148938,-492,786,-1809,51,396,183
5,16148948,-547,821,-1962,352,136,242
6,16148958,-438,660,-1830,502,144,358
7,16148968,-292,711,-1737,466,-62,358
8,16148978,-388,670,-1825,582,-233,195
9,16148988,-809,470,-1306,808,-412,152
10,16148998,-486,374,-1916,739,-516,155
11,16149008,-495,608,-1832,679,-411,39
12,16149018,-512,595,-1847,836,-529,-4
13,16149028,-490,660,-1898,813,-607,1
14,16149038,-558,596,-1880,776,-608,58
15,16149048,-515,570,-1850,570,-471,72
16,16149058,-323,934,-1695,403,-411,58
17,16149068,-460,820,-1827,579,-441,60
18,16149078,-403,802,-1724,684,-438,176
19,16149088,-439,803,-1722,760,-498,167
20,16149098,-448,785,-1736,825,-564,128
21,16149108,-453,826,-1703,853,-583,77
22,16149118,-484,857,-1730,845,-622,59
23,16149128,-484,811,-1681,934,-659,95
24,16149138,-442,837,-1669,954,-680,121
25,16149148,-477,823,-1650,976,-718,0
26,16149144,-477,823,-1650,977,-719,168
27,16149154,-486,768,-1647,978,-803,188
28,16149164,-546,812,-1649,928,-895,227
29,16149174,-478,796,-1621,850,-924,243
30,16149184,-550,832,-1578,729,-940,286
31,16149194,-626,971,-1646,678,-944,297
32,16149204,-607,942,-1681,805,-951,213
33,16149214,-595,903,-1651,998,-910,106
34,16149224,-620,953,-1638,1173,-875,56
35,16149234,-653,981,-1696,1263,-883,165
36,16149244,-624,881,-1731,1371,-835,235
37,16149254,-641,964,-1776,1509,-737,283
38,16149264,-417,2389,-1536,1759,-633,267
39,16149274,-719,437,-2013,3288,-619,308
40,16149284,-658,635,-1853,2948,-297,481
41,16149294,-821,810,-2027,2175,-637,441
42,16149304,-1178,1075,-2257,1716,-1071,671
43,16149314,-492,1108,-2482,1307,-1120,1177
44,16149324,-1551,1808,-2276,860,-1474,1737
45,16149334,-1683,1956,-2396,874,-1439,2152
46,16149344,-1625,2035,-2513,1042,-1209,2256
47,16149354,-1690,2341,-2444,1041,-724,2767
48,16149364,-3332,3147,-2570,1375,-204,3072
49,16149374,-784,1658,-2340,3899,2351,-180
50,16149384,-1499,1686,-2274,2812,850,3045
51,16149394,-1829,1726,-2601,2822,872,3073
52,16149391,-1829,1726,-2600,2823,872,3197
53,16149401,-1740,2046,-2687,2431,1312,3386
54,16149411,-1682,1922,-2493,2935,2096,3768
55,16149421,-1628,1386,-2202,3708,2635,4202
56,16149431,-1324,970,-1916,4239,3289,4243
57,16149441,-1085,491,-1541,4727,3560,4374
58,16149451,-777,-169,-1174,4942,3658,4377
59,16149461,-555,-763,-855,4799,3320,4375
60,16149471,-121,-1114,-699,4243,2997,4182
61,16149481,256,-1538,-301,3789,2565,4216
62,16149491,573,-2248,-100,3599,1876,4164
63,16149501,1330,-3114,317,2964,1192,4073
64,16149511,2182,-5619,1033,2801,85,3900
65,16149521,2612,-7082,612,1252,-2058,2645
66,16149531,2808,-7312,523,-1267,-3648,408
67,16149541,1616,-6257,303,-2404,-5230,-1936
68,16149551,449,-5862,105,-2262,-6371,-3915
69,16149561,-179,-5739,-95,-1511,-7082,-6195
70,16149571,-506,-5968,109,-978,-7166,-8274
71,16149581,-780,-5630,326,-1013,-7255,-10101
72,16149591,-1173,-5080,841,-1466,-7445,-11022
73,16149601,-1926,-4298,1241,-2265,-7830,-11266
74,16149611,-2433,-3168,1264,-3043,-8074,-11310
75,16149621,-2874,-2928,1709,-2944,-7971,-11121
76,16149631,-3621,-2201,1896,-3950,-7907,-10711
77,16149641,-3873,-2038,2069,-4479,-7449,-11013
78,16149638,-3873,-2039,2070,-4478,-7450,-10786
79,16149648,-4510,-1760,2233,-5055,-7165,-10491
80,16149658,-5787,-764,1699,-5918,-7104,-9672
81,16149668,-6994,378,1093,-6419,-6831,-8511
82,16149678,-7761,2127,215,-5874,-6332,-7352
83,16149688,-8345,2804,-919,-3660,-5453,-6375
84,16149698,-8762,3203,-1363,-1342,-4481,-5028
85,16149708,-8439,3418,-1081,307,-2530,-4920
86,16149718,-8019,2852,-1114,1534,-30,-4545
87,16149728,-7559,1963,-1040,1589,1733,-3063
88,16149738,-7247,1700,-1130,597,3157,-1003
89,16149748,-6999,1841,-1371,-200,4224,586
90,16149758,-6814,1997,-1557,-222,5083,1578
91,16149768,-6414,1838,-1445,333,6274,2033
92,16149778,-5819,1445,-1147,951,7484,2270
93,16149788,-5234,1191,-798,1046,8631,2684
94,16149798,-4681,916,-276,1103,9534,3468
95,16149808,-4167,680,255,1294,10140,3996
96,16149818,-3665,314,807,1773,10563,4323
97,16149828,-2902,-370,1323,2222,11246,4538
98,16149838,-2120,-1122,1537,1889,11519,5316
99,16149848,-1361,-1592,1595,696,11202,6718
100,16149858,-857,-2045,1533,-466,10229,8451
101,16149868,-687,-2212,1696,-1467,9035,10203
102,16149878,-419,-2572,2261,-1590,8309,11438
103,16149888,90,-3676,3056,-988,8042,11781
104,16149884,90,-3676,3056,-988,8042,12007
105,16149894,1543,-6605,3531,-267,7432,12151
106,16149904,6464,-10531,3607,-1084,6296,11049
107,16149914,4609,-10145,1770,-3774,1901,9598
108,16149924,2243,-7470,1426,-5121,-2278,7607
109,16149934,868,-7044,96,-3062,-4646,4077
110,16149944,327,-7048,-401,-332,-5952,70
111,16149954,427,-6529,-131,1869,-5971,-3974
112,16149964,455,-5558,524,3120,-5942,-7654
113,16149974,263,-4988,787,4069,-6238,-10232
114,16149984,-243,-4716,924,4233,-6893,-11313
115,16149994,-1065,-4301,1068,3475,-7698,-11452
116,16150004,-1917,-3663,1006,1935,-8279,-11199
117,16150014,-2826,-3121,1066,345,-8644,-10461
118,16150024,-3658,-2472,680,-1150,-8929,-9729
119,16150034,-4701,-1061,51,-2513,-9090,-9123
120,16150044,-5896,546,-1762,-3044,-8946,-8777
121,16150054,-7001,1732,-3878,-2474,-8449,-7850
