sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1560,16801721,896,-1802,342,581,-117,-98
1561,16801731,889,-1803,366,580,-117,-89
1562,16801741,905,-1777,358,560,-122,-73
1563,16801751,931,-1775,350,552,-128,-68
1564,16801761,902,-1774,362,571,-132,-43
1565,16801771,923,-1784,375,592,-136,-42
1566,16801781,920,-1796,379,596,-162,-15
1567,16801791,924,-1790,354,574,-196,-4
1568,16801801,902,-1780,340,569,-216,1
1569,16801811,899,-1789,326,582,-211,8
1570,16801821,919,-1801,331,580,-209,1
1571,16801831,891,-1809,310,570,-207,-2
1572,16801841,884,-1810,312,553,-217,9
1573,16801851,892,-1820,304,539,-218,18
1574,16801861,889,-1836,314,549,-208,15
1575,16801871,888,-1832,318,556,-213,14
1576,16801881,875,-1843,303,561,-229,24
1577,16801891,890,-1842,289,553,-218,6
1578,16801901,881,-1814,289,563,-199,-15
1579,16801911,898,-1822,299,554,-182,-13
1580,16801921,910,-1829,277,545,-188,1
1581,16801931,879,-1819,264,527,-201,15
1582,16801941,857,-1839,257,533,-197,14
1583,16801951,873,-1835,255,552,-185,5
1584,16801961,894,-1828,290,565,-185,5
1585,16801971,878,-1840,296,571,-192,0
1586,16801967,878,-1841,297,572,-193,18
1587,16801977,921,-1827,305,567,-195,17
1588,16801987,931,-1835,284,555,-198,24
1589,16801997,923,-1908,323,559,-194,40
1590,16802007,909,-1916,153,504,-195,39
1591,16802017,910,-2053,19,460,-112,-24
1592,16802027,768,-2298,-296,296,-6,-21
1593,16802037,460,-2804,-713,59,348,-244
1594,16802047,61,-2915,-1148,-655,1218,-731
1595,16802057,25,-2797,-1245,-1158,2652,-1614
1596,16802067,158,-2331,-882,-1856,4400,-2266
1597,16802077,755,-1702,51,-2847,6067,-2442
1598,16802087,1439,-960,1329,-3854,6949,-1950
1599,16802097,1875,-366,2939,-4485,6704,-722
1600,16802107,2785,-236,4673,-4657,4994,63
1601,16802117,2854,-290,5198,-5832,1819,1640
1602,16802127,2223,-864,5098,-6346,-1694,3198
1603,16802137,1614,-1274,6174,-4035,-4668,3360
1604,16802147,443,-2235,7675,38,-7384,3082
1605,16802157,-814,-3134,8705,1818,-10656,3469
1606,16802167,-2136,-3533,8816,1860,-12983,3467
1607,16802177,-3217,-3152,8130,1035,-14854,2809
1608,16802187,-4144,-2385,7061,-215,-16545,1934
1609,16802197,-5290,-1854,5701,-1660,-18105,1441
1610,16802207,-6316,-1226,4355,-3024,-19323,925
1611,16802217,-7119,-931,3195,-3337,-19552,0
1612,16802214,-7119,-931,3195,-3337,-19553,47
1613,16802224,-7802,-264,1795,-3540,-18986,-480
1614,16802234,-7914,327,301,-3492,-17958,-801
1615,16802244,-8986,405,-2071,-2695,-16433,-970
1616,16802254,-9986,-236,-4609,-2007,-14368,-90
1617,16802264,-10105,-1107,-6033,-1199,-11504,232
1618,16802274,-10344,-1452,-6824,-554,-7349,-8
1619,16802284,-10243,-1617,-6964,197,-2862,-429
1620,16802294,-9829,-1794,-6750,728,381,-897
1621,16802304,-8981,-1635,-6173,1151,2463,-1621
1622,16802314,-7952,-1459,-5251,1978,4429,-2686
1623,16802324,-7063,-1064,-4222,2777,6368,-3957
1624,16802334,-6207,-479,-2994,3087,8190,-5333
1625,16802344,-5456,15,-1690,3153,9602,-6371
1626,16802354,-4842,536,-577,3137,10809,-6972
1627,16802364,-4400,924,206,3130,11859,-7277
1628,16802374,-4255,1343,964,3110,12882,-7207
1629,16802384,-4171,1448,1898,3397,13741,-6826
1630,16802394,-4129,1504,3091,3589,14379,-6065
1631,16802404,-4199,1619,4641,3346,15040,-5109
1632,16802414,-3285,1487,7760,2843,16089,-4434
1633,16802424,-1437,1991,11146,1176,18306,-3387
1634,16802434,1898,940,14087,-1519,19814,-2663
1635,16802444,1913,-411,16061,-2591,18253,-674
1636,16802454,1349,-1612,16387,-1053,9591,1799
1637,16802464,395,-720,13858,-1262,-2111,1024
1638,16802461,396,-721,13859,-1261,-2111,1062
1639,16802471,1018,1473,11187,-1784,-9387,2128
1640,16802481,783,2147,9336,-645,-13171,2516
1641,16802491,-585,1600,8180,938,-15029,3940
1642,16802501,-2191,1014,7199,1820,-15873,5199
1643,16802511,-3637,581,6192,1722,-16409,5783
1644,16802521,-4973,296,5353,1100,-16729,5850
1645,16802531,-6548,-652,4244,225,-17000,5998
1646,16802541,-8060,-1729,2771,-941,-17187,6099
1647,16802551,-8958,-3079,1678,-1561,-17084,5662
1648,16802561,-9558,-3421,557,-1504,-16212,4604
1649,16802571,-10118,-3058,-1385,-2183,-14689,3345
1650,16802581,-10802,-2616,-4506,-3464,-12834,3015
1651,16802591,-10867,-3471,-5826,-3286,-11347,2732
1652,16802601,-10356,-4007,-6289,-2652,-8079,1920
1653,16802611,-10829,-3814,-7530,-3031,-3690,1038
1654,16802621,-9608,-3480,-6218,-1288,1077,-914
1655,16802631,-7977,-2763,-4381,790,4771,-2721
1656,16802641,-6378,-2025,-2759,1964,6592,-4430
1657,16802651,-5323,-1292,-1907,1978,7303,-5572
1658,16802661,-4608,-553,-1336,1397,7914,-6215
1659,16802671,-3970,101,-747,936,8893,-6551
1660,16802681,-3492,593,7,767,10189,-6670
1661,16802691,-3138,868,801,837,11391,-6641
1662,16802701,-2790,1181,1567,793,12210,-6430
1663,16802711,-2591,1370,2241,703,12968,-6147
1664,16802708,-2590,1370,2242,703,12967,-6044
1665,16802718,-2732,1496,3154,559,13868,-5245
1666,16802728,-3086,1673,4556,622,14970,-4536
1667,16802738,-3345,1863,7001,531,16569,-4086
1668,16802748,-1670,1775,10852,-144,18903,-3988
1669,16802758,3767,-556,15092,-1594,21371,-3687
1670,16802768,2633,-231,15494,-3774,20531,-2256
1671,16802778,312,-365,14324,-1756,14029,-1424
1672,16802788,-143,-405,12454,-3268,4036,-823
1673,16802798,-344,-86,11016,-6013,-5442,2631
1674,16802808,-285,1112,8386,-5321,-10106,2536
1675,16802818,-893,1686,6221,-3629,-12368,2353
1676,16802828,-1742,1462,5116,-1478,-13782,3271
1677,16802838,-2481,958,4504,154,-14390,4054
1678,16802848,-3306,382,4077,1014,-14658,4523
1679,16802858,-4468,-590,3555,1374,-14833,4993
1680,16802868,-5871,-1595,2574,763,-15125,5381
1681,16802878,-6996,-2231,1575,-373,-15434,5588
1682,16802888,-7930,-3696,807,-762,-15780,4872
1683,16802898,-7984,-3437,-340,-1043,-15624,3658
1684,16802908,-9250,-3119,-3428,-2324,-14078,2465
1685,16802918,-8532,-2609,-6735,-2867,-11534,1997
1686,16802928,-8155,-4240,-7501,-808,-9297,1823
1687,16802938,-7394,-3552,-7470,-1062,-5696,1352
1688,16802948,-6686,-2590,-7276,-3016,-1132,417
1689,16802958,-5933,-2170,-6382,-1948,2146,0
1690,16802954,-5933,-2170,-6382,-1948,2145,163
1691,16802964,-4888,-1995,-5027,-412,4117,-307
1692,16802974,-4067,-1712,-3935,992,5070,-1069
1693,16802984,-3312,-1249,-3233,1452,5581,-2046
1694,16802994,-2767,-564,-2723,1387,6373,-2999
1695,16803004,-2215,156,-2010,1336,7788,-3631
1696,16803014,-1624,590,-887,1554,9608,-3741
1697,16803024,-838,850,262,1285,11162,-3003
1698,16803034,-13,651,1793,418,12749,-1680
1699,16803044,831,590,2936,-1316,14357,-102
1700,16803054,1375,391,3479,-3603,15021,1595
1701,16803064,1288,68,3717,-5127,14597,3137
1702,16803074,272,-1280,3360,-5213,13492,4033
1703,16803084,-949,-2393,2865,-5564,11689,5521
1704,16803094,-1450,-3723,2965,-4731,9936,5465
1705,16803104,-1797,-4602,2993,-3468,8015,4305
1706,16803114,-1745,-4384,2321,-3716,6410,2942
1707,16803124,-1361,-3918,1812,-4144,4797,1297
1708,16803134,-1053,-3417,1269,-3988,3374,304
1709,16803144,-761,-2867,568,-3794,2152,-428
1710,16803154,-455,-2287,-240,-3451,897,-1040
1711,16803164,-337,-2072,-894,-2330,-118,-1071
1712,16803174,-280,-2029,-1421,-929,-928,-893
1713,16803184,-259,-2091,-1635,257,-1560,-628
1714,16803194,-269,-2232,-1704,1180,-1870,-197
1715,16803204,-307,-2233,-1795,1701,-1910,0
1716,16803201,-307,-2234,-1795,1701,-1910,140
1717,16803211,-281,-2244,-1704,2249,-1483,24
1718,16803221,-94,-2216,-1369,2595,-864,-433
1719,16803231,134,-2122,-1071,2284,-436,-723
1720,16803241,196,-2032,-1015,1408,-317,-675
1721,16803251,240,-1907,-1405,163,-327,-486
1722,16803261,341,-1896,-1759,-726,-329,-144
1723,16803271,363,-1693,-1992,-1187,-441,244
1724,16803281,426,-1723,-1880,-874,-465,375
1725,16803291,395,-1754,-1610,-345,-403,551
1726,16803301,394,-1677,-1393,82,-429,565
1727,16803311,319,-1690,-1108,511,-533,525
1728,16803321,246,-1758,-900,948,-670,518
1729,16803331,193,-1763,-829,926,-883,442
1730,16803341,119,-1819,-840,714,-1072,444
1731,16803351,-35,-1817,-933,368,-1184,506
1732,16803361,-123,-1874,-1040,241,-1172,579
1733,16803371,-125,-1905,-1055,270,-891,467
1734,16803381,-138,-2026,-1022,271,-515,208
1735,16803391,-122,-1871,-957,-6,-216,9
1736,16803401,-64,-1854,-1053,1,-101,-108
1737,16803411,-25,-1906,-1146,131,148,-270
1738,16803421,-55,-1973,-1018,487,511,-540
1739,16803431,43,-1876,-886,759,574,-839
1740,16803441,138,-1769,-937,616,387,-998
1741,16803451,132,-1841,-936,512,334,-1281
1742,16803448,133,-1842,-936,513,333,-1059
1743,16803458,231,-1755,-800,323,457,-1280
1744,16803468,328,-1575,-609,88,372,-1479
1745,16803478,470,-1286,-511,-173,165,-1538
1746,16803488,503,-1185,-516,-257,-70,-1365
1747,16803498,534,-1076,-623,-451,-194,-1047
1748,16803508,518,-973,-722,-678,-339,-637
1749,16803518,479,-812,-835,-864,-413,-242
1750,16803528,511,-305,-954,-1044,-550,439
1751,16803538,-77,-1715,-923,-374,-929,1987
1752,16803548,-716,-3893,-1556,897,-1249,3233
1753,16803558,-617,-2218,-2750,-5465,-1912,1791
1754,16803568,72,-774,-2725,-2379,-1616,-495
1755,16803578,224,-1538,-1698,350,-377,210
1756,16803588,75,-1772,-1405,1113,-276,760
1757,16803598,137,-1464,-1500,1079,-730,839
1758,16803608,90,-1319,-1615,959,-912,749
1759,16803618,-29,-1479,-1605,1229,-863,844
1760,16803628,-179,-1599,-1709,1299,-858,872
1761,16803638,-246,-1812,-1831,1489,-836,800
1762,16803648,-210,-2121,-2103,1811,-815,666
1763,16803658,-1417,-2600,-2835,2052,-761,702
1764,16803668,-1211,-1831,-2776,1465,-712,1084
1765,16803678,-849,-2971,-1949,4532,-555,828
1766,16803688,-1064,-2184,-1889,3198,-103,-125
1767,16803698,-709,-1905,-1987,3070,115,-2049
1768,16803694,-709,-1906,-1987,3070,115,-1995
1769,16803704,-723,-1824,-1921,3782,267,-2487
1770,16803714,-687,-2020,-1984,4341,418,-2753
1771,16803724,-822,-2122,-2172,4298,766,-2979
1772,16803734,-837,-2191,-2209,4128,1199,-3268
1773,16803744,-755,-2072,-2194,3972,1673,-3614
1774,16803754,-661,-1943,-2128,3915,2105,-3716
1775,16803764,-567,-1775,-1974,3673,2522,-3734
1776,16803774,-533,-1443,-1812,3467,3170,-3728
