sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
19838,19131190,-1988,305,112,736,-436,-217
19839,19131200,-1999,313,89,702,-406,-205
19840,19131210,-1983,317,41,722,-389,-201
19841,19131220,-1997,338,32,731,-392,-183
19842,19131230,-2056,313,2,770,-386,-155
19843,19131240,-2053,310,-4,826,-366,-132
19844,19131250,-2077,319,4,881,-362,-112
19845,19131260,-2100,310,0,927,-335,-107
19846,19131270,-2098,275,64,981,-315,-103
19847,19131280,-2068,290,97,1023,-282,-107
19848,19131290,-2057,319,121,1048,-273,-118
19849,19131300,-2066,325,146,1069,-281,-109
19850,19131310,-2057,321,171,1060,-287,-85
19851,19131320,-2028,295,179,1040,-299,-60
19852,19131330,-2065,304,158,1006,-319,-41
19853,19131340,-2093,288,143,964,-336,-21
19854,19131350,-2069,294,111,918,-344,6
19855,19131360,-2083,260,89,897,-329,25
19856,19131370,-2114,254,84,873,-324,32
19857,19131380,-2078,248,78,857,-320,31
19858,19131390,-2067,242,44,836,-311,38
19859,19131400,-2066,249,30,813,-301,46
19860,19131410,-2050,247,39,791,-252,43
19861,19131420,-2015,229,63,795,-205,64
19862,19131430,-2045,229,40,765,-205,69
19863,19131440,-2075,244,16,757,-212,0
19864,19131436,-2075,243,16,757,-213,83
19865,19131446,-2096,238,-3,779,-214,93
19866,19131456,-2109,225,-28,830,-216,96
19867,19131466,-2126,205,-53,891,-213,85
19868,19131476,-2127,192,-51,942,-215,66
19869,19131486,-2064,179,-59,1007,-195,37
19870,19131496,-2046,182,-38,1084,-174,4
19871,19131506,-2065,163,-14,1156,-175,-7
19872,19131516,-2030,186,-5,1220,-175,-35
19873,19131526,-1994,222,26,1308,-171,-79
19874,19131536,-2017,233,54,1390,-167,-103
19875,19131546,-2021,226,100,1441,-178,-126
19876,19131556,-2006,256,104,1467,-199,-146
19877,19131566,-2037,270,101,1470,-224,-150
19878,19131576,-2064,305,85,1466,-246,-158
19879,19131586,-2076,313,50,1471,-263,-159
19880,19131596,-2061,313,40,1481,-275,-169
19881,19131606,-2082,318,12,1475,-278,-175
19882,19131616,-2100,337,-11,1471,-277,-170
19883,19131626,-2083,329,-56,1475,-255,-177
19884,19131636,-2067,311,-76,1480,-223,-184
19885,19131646,-2092,292,-111,1506,-222,-192
19886,19131656,-2076,285,-156,1564,-233,-191
19887,19131666,-2077,242,-163,1641,-196,-206
