sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,29727938,534,1541,1622,686,-86,-311
1,29727948,-30,887,1788,1064,-180,-435
2,29727958,281,1150,2197,-481,454,-272
3,29727968,209,1016,2087,357,-65,-54
4,29727978,105,930,1867,637,-328,-84
5,29727988,105,932,1826,913,-173,-266
6,29727998,121,920,1833,861,-17,-284
7,29728008,93,976,1873,839,-9,-264
8,29728018,89,956,1916,864,7,-236
9,29728028,144,944,1954,938,-20,-167
10,29728038,153,958,1965,1058,-152,-114
11,29728048,104,932,1936,1249,-307,-39
12,29728058,132,906,1901,1358,-313,5
13,29728068,101,949,2059,1429,-299,80
14,29728078,147,1077,2101,1412,-200,31
15,29728088,106,1359,2182,1646,-276,60
16,29728098,-20,1818,1942,1463,-180,-151
17,29728108,194,940,2032,2264,-618,949
18,29728118,-305,1156,2497,2128,-292,200
19,29728128,16,1476,2705,1284,167,193
20,29728138,79,1150,2804,1948,-70,728
21,29728148,163,903,2951,2573,-450,1070
22,29728158,201,798,3062,3348,-701,1002
23,29728168,257,533,3089,4122,-771,818
24,29728178,325,270,3115,4785,-1041,779
25,29728188,417,51,2822,5463,-1385,512
26,29728184,418,50,2822,5464,-1385,647
27,29728194,347,35,2532,5893,-1832,294
28,29728204,310,39,2227,6175,-2245,-95
29,29728214,494,-280,1588,6277,-2653,-534
30,29728224,282,-87,1779,5627,-3467,-518
31,29728234,118,531,1794,4272,-3898,-744
32,29728244,-192,873,1251,4243,-4738,-1164
33,29728254,-905,1510,599,4557,-5495,-1942
34,29728264,-1703,2450,-328,4874,-5580,-2920
35,29728274,-2287,3540,-2366,5748,-5331,-3673
36,29728284,-2369,5085,-5853,6400,-5236,-3495
37,29728294,-3113,5349,-8351,6298,-5286,-1657
38,29728304,-3251,3898,-8590,4665,-3611,1589
39,29728314,-2903,2905,-6970,1724,-236,3159
40,29728324,-2156,2458,-4838,-1047,3957,2811
41,29728334,-1416,1802,-2810,-2359,6982,2759
42,29728344,-813,973,-960,-2413,8977,3237
43,29728354,-375,537,869,-2021,10259,3455
44,29728364,-577,-175,2882,-1778,10962,3514
45,29728374,-867,-2052,5915,-2603,10868,4045
46,29728384,-701,-3058,10108,-5694,10318,4319
47,29728394,352,-2543,13124,-8564,9263,2039
48,29728404,996,-1754,13168,-6717,4885,197
49,29728414,-389,-2249,10293,-641,-1381,-1881
50,29728424,-613,-3257,7804,3375,-4864,-1051
51,29728434,-181,-3899,5802,5806,-6246,256
52,29728431,-181,-3899,5803,5806,-6246,366
53,29728441,193,-2576,2806,8775,-6139,-350
54,29728451,1030,-567,-3240,13290,-7482,-1558
55,29728461,-1345,926,-10412,16012,-11135,-4669
56,29728471,-5700,4007,-15167,12187,-13075,-7188
57,29728481,-5316,3872,-16315,5005,-7919,-3013
58,29728491,-4925,3123,-12988,-1998,-1472,81
59,29728501,-2965,2467,-7679,-4877,4128,1376
60,29728511,-1323,1229,-4212,-5041,7885,2672
61,29728521,-813,-585,-1457,-3497,10638,2878
62,29728531,-2214,-1691,1857,-3781,12295,2512
63,29728541,-3915,-4145,6599,-6471,13913,1784
64,29728551,-3930,-4544,13670,-10978,15662,402
65,29728561,-251,-2643,15291,-12298,12099,594
66,29728571,-1347,-2241,12916,-4886,3933,-2026
67,29728581,-2183,-3273,10976,-312,-3390,-1081
68,29728591,-2759,-3077,8913,2865,-5926,-644
69,29728601,-3349,-213,6764,6580,-6387,-882
70,29728611,-2819,2287,1879,12065,-7430,-545
71,29728621,-2194,3560,-4882,16469,-12038,-1173
72,29728631,-5730,2449,-14026,18881,-17869,-2953
73,29728641,-3973,2851,-18872,13544,-15545,225
74,29728651,-3128,1478,-17526,4101,-6848,2720
75,29728661,-1765,397,-12653,-3510,1145,2264
76,29728671,-1253,314,-6682,-6915,5827,1603
77,29728681,-662,-703,-2952,-6586,9001,1793
78,29728678,-662,-703,-2951,-6585,9001,1978
