sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
14430,19079882,-4421,-4208,-15276,-4952,-11484,-260
14431,19079892,-4421,-4699,-12649,993,-4491,-1430
14432,19079902,-3708,-3297,-7902,5436,5545,-3016
14433,19079912,-3281,-1151,-4722,4591,9386,-5033
14434,19079922,-2831,242,-3701,3085,9624,-5537
14435,19079932,-3052,607,-2908,3209,9514,-4703
14436,19079942,-3407,510,-2012,3760,10416,-3914
14437,19079952,-4232,173,-908,3231,11773,-3320
14438,19079962,-5243,744,755,1993,13098,-2679
14439,19079972,-6690,1914,3692,668,14248,-1473
14440,19079982,-6358,781,9753,-691,15612,-407
14441,19079992,-3758,-680,12819,-3389,17936,529
14442,19080002,-3149,-2834,12149,-5547,15021,449
14443,19080012,-4602,-3512,9371,-7120,6295,1609
14444,19080022,-4868,-3404,5958,-7785,-1180,2485
14445,19080032,-5793,-4248,5253,-2299,-7085,2801
14446,19080042,-5444,-3378,5314,3544,-11094,1375
14447,19080052,-5289,-1896,3829,3481,-13458,-115
14448,19080062,-5411,-939,2430,1946,-15035,-320
14449,19080072,-5571,-249,1195,531,-15763,-212
14450,19080082,-5920,248,165,-221,-15825,53
14451,19080092,-6184,848,-585,-627,-15457,451
14452,19080102,-6411,593,-1710,-133,-14927,882
14453,19080112,-6358,-1322,-4119,15,-14856,1533
14454,19080122,-5721,-3070,-9404,-2552,-14488,2244
14455,19080132,-6316,-5083,-13515,-3650,-13749,2817
14456,19080129,-6316,-5083,-13514,-3649,-13749,2855
14457,19080139,-6499,-5256,-13121,-925,-8834,707
14458,19080149,-5756,-4369,-8929,3190,1000,-2678
14459,19080159,-4414,-1914,-5528,4052,8055,-5582
14460,19080169,-3583,70,-3947,2661,10263,-7064
14461,19080179,-3358,980,-3178,2067,10179,-6739
14462,19080189,-3754,1053,-1991,3472,10432,-5585
14463,19080199,-4747,209,-841,4368,11419,-4527
14464,19080209,-5862,1147,632,3318,12998,-3716
14465,19080219,-7019,1286,2022,3006,14698,-2869
14466,19080229,-8398,1925,5494,2298,16576,-953
14467,19080239,-6766,1348,11668,1225,18631,-619
14468,19080249,-3314,-1121,14534,443,21842,-1525
14469,19080259,-2353,-2492,12784,-3020,19054,-2875
14470,19080269,-3273,-2473,10111,-4993,8146,-2066
14471,19080279,-3734,-1694,6016,-8794,-2436,1875
14472,19080289,-5519,-2091,4402,-5167,-8817,3317
14473,19080299,-4835,-2149,4156,2162,-12718,2652
14474,19080309,-5026,-1407,3156,3633,-14226,1492
14475,19080319,-5300,-980,2075,2861,-14945,1508
14476,19080329,-5716,-361,1017,1012,-15307,1805
14477,19080339,-5911,328,116,-773,-15091,1939
14478,19080349,-6321,-1036,-878,-1581,-14373,1959
14479,19080359,-5559,-2335,-3034,-3133,-13673,1815
14480,19080369,-5197,-2802,-6310,-6884,-14434,1549
14481,19080379,-5834,-3184,-8995,-8728,-15571,1537
14482,19080376,-5833,-3184,-8994,-8728,-15572,1683
14483,19080386,-5615,-3141,-9018,-6694,-13170,-204
14484,19080396,-5369,-2002,-7848,-5310,-6726,-2399
14485,19080406,-4343,-1223,-5296,-1138,2348,-2191
14486,19080416,-3399,-631,-3239,1032,9228,-2113
14487,19080426,-3044,-769,-1353,3579,11686,-1474
14488,19080436,-2928,-968,-139,4454,11821,-1410
14489,19080446,-2958,-1153,923,4227,11646,-1245
14490,19080456,-3121,-1119,1691,4093,11590,-1010
14491,19080466,-2944,-990,2426,4533,11613,-1375
14492,19080476,-2577,-863,2912,5410,11028,-2251
14493,19080486,-2236,-606,2886,5572,9668,-2972
14494,19080496,-1912,-679,3172,5762,7967,-3226
14495,19080506,-1469,-1098,3706,6285,6344,-3326
14496,19080516,-959,-1495,4111,6432,4799,-3557
14497,19080526,-672,-1567,4109,5925,3211,-3821
14498,19080536,-410,-1543,3907,5170,1715,-3967
14499,19080546,-147,-1509,3588,4239,649,-3829
14500,19080556,-34,-1469,3178,3108,-206,-3344
14501,19080566,-87,-1462,2710,1823,-908,-2806
14502,19080576,-138,-1418,2237,627,-1235,-2391
14503,19080586,-168,-1407,1781,-228,-1244,-2190
14504,19080596,-256,-1449,1365,-679,-1034,-2102
14505,19080606,-341,-1550,1075,-769,-601,-2122
14506,19080616,-294,-1679,1015,-657,-133,-2080
14507,19080626,-199,-1839,1067,-646,98,-2305
14508,19080622,-198,-1839,1067,-645,97,-2062
14509,19080632,-180,-1951,1068,-941,136,-2026
14510,19080642,-171,-2018,891,-1337,64,-2038
14511,19080652,-154,-2006,618,-1611,137,-2207
14512,19080662,-148,-2026,539,-1507,503,-2542
14513,19080672,-51,-1977,672,-1343,820,-2972
14514,19080682,119,-1905,739,-1308,848,-3343
14515,19080692,291,-1766,718,-1490,632,-3570
14516,19080702,407,-1605,636,-1652,353,-3671
14517,19080712,464,-1524,505,-1661,66,-3656
14518,19080722,542,-1420,305,-1557,-162,-3536
14519,19080732,568,-1372,159,-1158,-312,-3393
14520,19080742,673,-1409,149,-561,-265,-3388
14521,19080752,890,-1267,105,-160,-362,-3388
14522,19080762,971,-1223,-12,226,-646,-3248
14523,19080772,1086,-1198,-55,654,-874,-3005
14524,19080782,1141,-1123,-100,903,-1138,-2791
14525,19080792,1271,-896,-202,980,-1441,-2575
14526,19080802,1248,-793,-281,1228,-1667,-2197
14527,19080812,1162,-866,-197,1591,-1651,-1636
14528,19080822,1180,-1001,-56,1658,-1412,-1159
14529,19080832,1153,-1218,64,1470,-1289,-658
14530,19080842,1017,-1453,46,1132,-1268,-235
14531,19080852,827,-1711,-94,804,-1293,55
14532,19080862,706,-1917,-276,681,-1293,147
14533,19080872,591,-2027,-376,707,-1263,0
14534,19080869,591,-2028,-376,708,-1263,47
14535,19080879,609,-2035,-388,839,-1112,-276
14536,19080889,689,-1979,-344,832,-1040,-544
14537,19080899,766,-1798,-329,693,-1077,-718
14538,19080909,840,-1610,-301,644,-1119,-825
14539,19080919,929,-1410,-240,669,-1135,-773
14540,19080929,1004,-1246,-201,722,-1179,-584
14541,19080939,986,-1164,-166,908,-1209,-302
14542,19080949,943,-1191,-136,1122,-1107,-89
14543,19080959,909,-1261,-153,1228,-1030,131
14544,19080969,814,-1382,-280,1256,-1087,377
14545,19080979,660,-1487,-350,1354,-1237,526
14546,19080989,607,-1602,-416,1604,-1236,480
14547,19080999,637,-1676,-419,1785,-1144,335
14548,19081009,679,-1612,-416,1756,-1110,177
14549,19081019,704,-1550,-431,1560,-1166,66
14550,19081029,707,-1496,-460,1298,-1223,24
14551,19081039,692,-1532,-515,974,-1169,101
14552,19081049,619,-1597,-556,572,-953,258
14553,19081059,558,-1683,-584,215,-687,311
14554,19081069,482,-1936,-685,-105,-531,367
14555,19081079,385,-2134,-900,-324,-563,513
14556,19081089,266,-2317,-1021,-87,-762,583
14557,19081099,265,-2381,-992,335,-885,370
14558,19081109,360,-2202,-897,553,-930,-92
14559,19081119,409,-1982,-735,673,-863,-512
14560,19081116,410,-1982,-735,674,-864,-469
14561,19081126,468,-1812,-531,750,-775,-630
14562,19081136,522,-1736,-432,647,-753,-566
14563,19081146,488,-1801,-417,417,-772,-394
14564,19081156,387,-1895,-536,88,-811,-268
14565,19081166,365,-1997,-687,-171,-862,-281
14566,19081176,395,-1979,-879,-280,-909,-375
14567,19081186,411,-1955,-956,-34,-1020,-453
14568,19081196,499,-1870,-994,350,-1065,-549
14569,19081206,621,-1771,-1014,642,-1123,-519
14570,19081216,656,-1720,-994,928,-1208,-445
14571,19081226,669,-1674,-939,1128,-1250,-465
14572,19081236,723,-1633,-943,1164,-1238,-481
14573,19081246,758,-1650,-995,1085,-1197,-449
14574,19081256,739,-1688,-1081,943,-1150,-415
14575,19081266,766,-1690,-1157,880,-1069,-446
14576,19081276,863,-1681,-1226,943,-952,-492
14577,19081286,825,-1750,-1230,1088,-875,-371
14578,19081296,852,-1760,-1224,1135,-854,-231
14579,19081306,847,-1812,-1249,1072,-848,-131
14580,19081316,818,-1857,-1218,920,-788,-48
14581,19081326,738,-1825,-1175,797,-650,-175
14582,19081336,750,-1760,-1087,709,-531,-294
14583,19081346,713,-1755,-982,736,-458,-293
14584,19081356,705,-1730,-937,669,-416,-303
14585,19081366,641,-1713,-922,613,-405,-512
14586,19081362,641,-1713,-922,614,-406,-289
14587,19081372,565,-1730,-855,701,-311,-275
14588,19081382,650,-1721,-699,816,-140,-386
14589,19081392,619,-1723,-598,923,-155,-392
14590,19081402,625,-1685,-550,998,-310,-348
14591,19081412,687,-1661,-605,1034,-516,-380
14592,19081422,637,-1586,-614,1187,-836,-299
14593,19081432,686,-1505,-565,1431,-1044,-376
14594,19081442,801,-1422,-499,1451,-1154,-445
14595,19081452,849,-1379,-506,1293,-1217,-435
14596,19081462,826,-1355,-580,1022,-1254,-421
14597,19081472,823,-1334,-684,802,-1295,-393
14598,19081482,850,-1348,-764,625,-1306,-328
14599,19081492,838,-1385,-865,454,-1304,-221
14600,19081502,815,-1437,-925,306,-1328,-158
14601,19081512,821,-1365,-992,156,-1346,-189
14602,19081522,874,-1365,-1019,129,-1333,-211
14603,19081532,930,-1315,-1070,99,-1281,-261
14604,19081542,945,-1267,-1102,89,-1202,-277
14605,19081552,984,-1294,-1166,156,-999,-251
14606,19081562,981,-1339,-1247,95,-748,-208
14607,19081572,917,-1378,-1320,-64,-611,-76
14608,19081582,963,-1483,-1378,-190,-485,68
14609,19081592,929,-1489,-1490,-374,-380,218
14610,19081602,1011,-1486,-1520,-326,-301,317
14611,19081612,1030,-1483,-1481,-171,-326,256
14612,19081609,1031,-1484,-1481,-170,-327,484
14613,19081619,1133,-1390,-1560,-13,-373,636
