sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
18616,19119597,-1996,-185,-403,100,-262,-144
18617,19119607,-2030,-170,-439,154,-288,-151
18618,19119617,-2043,-149,-454,236,-288,-190
18619,19119627,-2073,-184,-425,303,-295,-219
18620,19119637,-2045,-182,-420,333,-290,-239
18621,19119647,-2055,-172,-418,314,-302,-268
18622,19119657,-2110,-181,-423,301,-284,-295
18623,19119667,-2111,-182,-398,293,-256,-329
18624,19119677,-2090,-121,-400,258,-239,-368
18625,19119687,-2098,-63,-383,240,-240,-383
18626,19119697,-2110,-36,-355,229,-246,-384
18627,19119707,-2084,7,-344,221,-258,-386
18628,19119717,-2032,17,-328,223,-283,-375
18629,19119727,-2015,3,-333,230,-315,-358
18630,19119737,-2008,-17,-344,219,-352,-340
18631,19119747,-1938,-53,-349,225,-370,-333
18632,19119757,-1931,-82,-361,228,-375,-331
18633,19119767,-1895,-81,-384,227,-391,-338
18634,19119777,-1868,-70,-412,252,-395,-351
18635,19119787,-1851,-37,-422,300,-407,-352
18636,19119797,-1865,-51,-423,338,-402,-347
18637,19119807,-1844,-57,-404,370,-395,-342
18638,19119817,-1808,-32,-413,377,-385,-349
18639,19119827,-1792,-21,-396,383,-355,-340
18640,19119837,-1794,-28,-357,398,-330,-333
18641,19119847,-1774,-21,-350,396,-352,-512
18642,19119844,-1774,-22,-350,396,-353,-316
18643,19119854,-1772,-33,-348,404,-386,-303
18644,19119864,-1860,-10,-332,435,-392,-285
18645,19119874,-1953,5,-330,486,-399,-257
18646,19119884,-2027,27,-354,503,-431,-211
18647,19119894,-2185,54,-393,468,-450,-160
18648,19119904,-2292,64,-463,435,-452,-99
18649,19119914,-2391,76,-404,404,-450,-78
18650,19119924,-2467,32,-465,473,-405,-25
18651,19119934,-2500,-24,-461,416,-464,-16
18652,19119944,-2430,-49,-417,393,-412,-31
18653,19119954,-2331,-114,-358,436,-363,-89
18654,19119964,-2250,-128,-309,469,-361,-119
18655,19119974,-2212,-133,-229,505,-341,-198
18656,19119984,-2103,-151,-171,602,-352,-183
18657,19119994,-1992,-131,-166,652,-456,-270
18658,19120004,-2032,-26,-167,717,-542,-310
18659,19120014,-1932,-98,-181,1043,-607,-324
18660,19120024,-1918,-1,-263,1130,-714,-340
18661,19120034,-1927,95,-313,1257,-810,-378
18662,19120044,-1971,160,-350,1491,-834,-377
18663,19120054,-1947,192,-333,1719,-824,-350
18664,19120064,-1919,251,-299,1844,-800,-338
18665,19120074,-1980,235,-228,1905,-754,-271
18666,19120084,-1963,211,-162,1904,-697,-221
18667,19120094,-1932,206,-98,1815,-626,-256
18668,19120090,-1932,205,-98,1815,-627,-206
18669,19120100,-1946,205,-63,1691,-569,-205
18670,19120110,-1952,208,-20,1541,-493,-202
18671,19120120,-1945,233,6,1381,-431,-212
18672,19120130,-1931,290,26,1231,-361,-211
18673,19120140,-1977,310,49,1089,-297,-204
18674,19120150,-1990,331,17,976,-268,-195
18675,19120160,-1973,350,12,908,-271,-178
18676,19120170,-2025,337,-5,906,-282,-141
18677,19120180,-2110,306,-42,931,-301,-109
18678,19120190,-2138,268,-87,941,-335,-72
18679,19120200,-2169,233,-130,938,-378,-49
18680,19120210,-2226,166,-183,952,-391,-40
18681,19120220,-2233,132,-224,955,-389,-44
18682,19120230,-2207,121,-278,957,-383,-59
18683,19120240,-2227,135,-300,988,-364,-76
18684,19120250,-2227,117,-325,1050,-341,-88
18685,19120260,-2178,161,-318,1146,-326,-103
18686,19120270,-2124,130,-286,1282,-319,-126
18687,19120280,-2096,91,-234,1455,-306,-127
18688,19120290,-2078,62,-191,1581,-304,-134
18689,19120300,-2059,51,-187,1644,-317,-134
18690,19120310,-2070,50,-186,1645,-315,-139
18691,19120320,-2080,48,-177,1639,-276,-155
18692,19120330,-2049,61,-161,1619,-225,-175
18693,19120340,-2022,66,-118,1578,-187,-256
18694,19120337,-2022,66,-117,1578,-187,-196
18695,19120347,-2044,101,-89,1526,-148,-196
18696,19120357,-2071,133,-69,1481,-104,-202
18697,19120367,-2051,147,-38,1433,-66,-195
18698,19120377,-2069,169,2,1392,-38,-195
18699,19120387,-2096,191,23,1376,-6,-207
18700,19120397,-2106,210,21,1368,12,-195
18701,19120407,-2070,213,28,1344,14,-203
18702,19120417,-2099,222,36,1374,-6,-185
18703,19120427,-2107,214,-6,1441,-20,-182
18704,19120437,-2095,213,-27,1518,-37,-173
18705,19120447,-2097,217,-59,1605,-53,-183
18706,19120457,-2102,191,-46,1704,-77,-191
18707,19120467,-2089,168,-45,1761,-67,-200
18708,19120477,-2056,146,13,1811,-56,-205
18709,19120487,-2072,110,28,1771,-31,-230
18710,19120497,-2051,94,34,1657,-11,-244
18711,19120507,-2017,94,19,1510,6,-260
18712,19120517,-1977,122,-44,1371,32,-271
18713,19120527,-1980,140,-107,1285,41,-265
18714,19120537,-1942,165,-163,1280,34,-248
18715,19120547,-1911,193,-227,1362,30,-221
18716,19120557,-1933,198,-240,1521,23,-187
18717,19120567,-1985,211,-248,1715,4,-145
18718,19120577,-1998,207,-257,1920,-11,-88
18719,19120587,-2049,183,-240,2102,-25,-256
18720,19120583,-2049,183,-240,2103,-26,-48
18721,19120593,-2135,142,-220,2255,-33,-13
18722,19120603,-2164,113,-182,2366,3,-1
18723,19120613,-2170,92,-127,2406,73,2
18724,19120623,-2202,80,-80,2376,132,-6
18725,19120633,-2164,91,9,2320,188,-22
18726,19120643,-2130,114,40,2248,248,-29
18727,19120653,-2116,136,58,2161,274,-26
18728,19120663,-2132,155,54,2104,254,-2
18729,19120673,-2127,171,29,2101,230,43
18730,19120683,-2134,151,6,2171,204,85
18731,19120693,-2181,117,-4,2286,163,126
18732,19120703,-2170,73,-7,2403,119,187
18733,19120713,-2180,-8,-16,2529,51,226
18734,19120723,-2194,-17,-23,2626,4,296
18735,19120733,-2192,-101,-49,2737,-46,256
18736,19120743,-2175,-113,-36,2768,-90,291
18737,19120753,-2101,-126,-35,2786,-84,259
18738,19120763,-2058,-148,-4,2792,-73,264
18739,19120773,-2022,-188,10,2741,-67,286
18740,19120783,-1925,-215,-8,2663,-75,304
18741,19120793,-1890,-255,-25,2606,-83,327
18742,19120803,-1873,-260,-86,2576,-94,337
18743,19120813,-1860,-256,-142,2595,-137,334
18744,19120823,-1853,-249,-211,2660,-171,355
18745,19120833,-1905,-256,-234,2724,-163,256
18746,19120830,-1905,-256,-233,2725,-164,364
18747,19120840,-1932,-248,-233,2773,-113,374
18748,19120850,-1904,-237,-220,2762,-34,386
18749,19120860,-1929,-222,-181,2689,52,406
18750,19120870,-1975,-212,-178,2571,130,436
18751,19120880,-1984,-194,-167,2447,213,476
18752,19120890,-1975,-161,-176,2358,277,505
18753,19120900,-2021,-137,-160,2327,322,537
18754,19120910,-2043,-126,-151,2333,346,582
18755,19120920,-2010,-101,-124,2383,354,613
18756,19120930,-2051,-130,-88,2461,344,640
18757,19120940,-2072,-163,-74,2550,314,659
18758,19120950,-2062,-215,-66,2643,273,660
18759,19120960,-2071,-281,-40,2726,240,638
18760,19120970,-2128,-333,-13,2784,210,614
18761,19120980,-2165,-343,-23,2812,172,574
18762,19120990,-2142,-331,-37,2834,128,507
18763,19121000,-2139,-313,-35,2857,109,445
18764,19121010,-2148,-289,-18,2881,110,383
18765,19121020,-2110,-288,5,2891,103,337
18766,19121030,-2076,-256,7,2858,87,305
18767,19121040,-2063,-247,10,2803,69,283
18768,19121050,-2071,-240,16,2759,61,265
18769,19121060,-2029,-200,5,2706,72,243
18770,19121070,-2021,-179,-7,2667,84,225
18771,19121080,-2036,-142,-9,2646,86,0
18772,19121077,-2036,-143,-9,2646,86,223
18773,19121087,-2030,-126,9,2647,92,221
18774,19121097,-2032,-107,-2,2678,86,234
18775,19121107,-2065,-105,1,2703,60,249
18776,19121117,-2070,-113,24,2715,38,266
18777,19121127,-2048,-141,31,2724,22,281
18778,19121137,-2056,-176,34,2705,9,291
18779,19121147,-2077,-190,41,2658,-25,289
18780,19121157,-2073,-195,54,2636,-65,295
18781,19121167,-2056,-201,47,2601,-87,271
18782,19121177,-2086,-209,36,2575,-115,243
18783,19121187,-2101,-201,19,2529,-152,220
18784,19121197,-2082,-188,-17,2479,-181,209
18785,19121207,-2086,-175,-75,2423,-213,191
18786,19121217,-2130,-207,-127,2382,-249,183
18787,19121227,-2100,-210,-188,2353,-278,178
18788,19121237,-2066,-224,-228,2341,-283,160
18789,19121247,-2054,-244,-262,2342,-287,129
18790,19121257,-2048,-242,-293,2351,-284,102
18791,19121267,-1999,-240,-321,2384,-275,75
18792,19121277,-1997,-216,-316,2427,-258,46
18793,19121287,-2018,-194,-314,2467,-251,22
18794,19121297,-1999,-182,-311,2495,-246,9
18795,19121307,-1985,-160,-301,2499,-240,0
18796,19121317,-2001,-151,-300,2477,-229,0
18797,19121327,-2002,-138,-316,2424,-215,0
18798,19121323,-2002,-139,-315,2425,-216,11
18799,19121333,-1972,-155,-328,2365,-202,30
18800,19121343,-1960,-165,-321,2310,-183,44
18801,19121353,-1975,-177,-345,2265,-161,50
18802,19121363,-1953,-152,-341,2243,-152,57
18803,19121373,-1926,-139,-333,2242,-136,62
18804,19121383,-1957,-90,-346,2250,-129,69
18805,19121393,-1969,-101,-348,2275,-124,104
18806,19121403,-1971,-100,-334,2276,-111,139
18807,19121413,-2007,-99,-321,2260,-93,181
18808,19121423,-2028,-108,-306,2206,-77,207
18809,19121433,-2024,-113,-322,2139,-54,241
18810,19121443,-2013,-127,-328,2069,-32,284
18811,19121453,-2044,-149,-327,2021,-21,318
18812,19121463,-2038,-174,-321,1997,-5,338
18813,19121473,-1998,-191,-291,1994,14,352
18814,19121483,-1992,-208,-240,2003,29,361
18815,19121493,-1992,-239,-194,1981,41,356
18816,19121503,-1949,-260,-163,1932,41,350
18817,19121513,-1894,-255,-129,1850,35,346
18818,19121523,-1920,-240,-127,1757,18,341
18819,19121533,-1918,-253,-111,1674,2,344
18820,19121543,-1896,-224,-133,1595,-8,348
18821,19121553,-1913,-201,-133,1523,-22,348
18822,19121563,-1981,-213,-175,1451,-39,362
18823,19121573,-2001,-207,-204,1387,-54,256
18824,19121570,-2001,-207,-204,1387,-54,375
18825,19121580,-2014,-198,-229,1343,-54,383
18826,19121590,-2089,-213,-235,1310,-38,386
18827,19121600,-2106,-233,-205,1277,-16,380
18828,19121610,-2116,-242,-217,1244,-2,353
18829,19121620,-2121,-272,-207,1214,3,328
18830,19121630,-2144,-256,-189,1184,12,295
18831,19121640,-2115,-271,-167,1171,11,247
18832,19121650,-2100,-276,-156,1150,4,206
18833,19121660,-2145,-286,-151,1128,-11,156
18834,19121670,-2174,-278,-145,1113,-32,108
18835,19121680,-2177,-254,-135,1095,-55,56
18836,19121690,-2199,-227,-153,1080,-72,-13
18837,19121700,-2239,-216,-146,1086,-91,-80
18838,19121710,-2209,-170,-158,1094,-117,-155
18839,19121720,-2183,-131,-143,1129,-142,-230
18840,19121730,-2171,-115,-126,1173,-162,-282
18841,19121740,-2145,-77,-118,1217,-193,-346
18842,19121750,-2079,-42,-100,1269,-248,-397
18843,19121760,-2056,18,-98,1304,-294,-433
18844,19121770,-2060,31,-108,1345,-341,-456
18845,19121780,-2022,62,-128,1354,-373,-474
18846,19121790,-2010,80,-129,1351,-397,-469
18847,19121800,-2047,101,-157,1310,-418,-459
18848,19121810,-2061,118,-192,1242,-421,-450
18849,19121820,-2026,116,-189,1179,-375,-512
18850,19121817,-2026,115,-188,1179,-376,-448
18851,19121827,-2019,111,-187,1101,-319,-442
18852,19121837,-2024,108,-199,977,-290,-431
18853,19121847,-2012,106,-228,857,-273,-404
18854,19121857,-1988,142,-241,777,-243,-394
18855,19121867,-2002,144,-237,757,-213,-386
18856,19121877,-2010,142,-206,773,-195,-373
18857,19121887,-1952,145,-180,806,-196,-353
18858,19121897,-1940,163,-160,833,-217,-334
18859,19121907,-1942,146,-134,855,-239,-302
18860,19121917,-1906,124,-100,865,-258,-265
18861,19121927,-1891,104,-91,854,-271,-237
18862,19121937,-1894,80,-78,828,-284,-209
18863,19121947,-1912,62,-85,785,-301,-183
18864,19121957,-1876,58,-94,743,-301,-158
18865,19121967,-1891,35,-84,706,-296,-140
18866,19121977,-1912,39,-100,671,-309,-127
18867,19121987,-1903,26,-132,615,-321,-113
18868,19121997,-1879,29,-162,571,-333,-91
18869,19122007,-1919,7,-184,550,-331,-75
18870,19122017,-1942,-2,-194,535,-324,-51
18871,19122027,-1954,-18,-224,522,-312,-33
18872,19122037,-1990,-30,-248,518,-289,-28
18873,19122047,-2052,-20,-241,518,-272,-28
18874,19122057,-2050,-13,-255,556,-254,-35
18875,19122067,-2082,3,-237,590,-240,-256
18876,19122063,-2082,2,-237,590,-240,-34
18877,19122073,-2142,32,-220,636,-225,-39
18878,19122083,-2167,36,-186,683,-202,-48
18879,19122093,-2167,48,-160,704,-187,-40
18880,19122103,-2167,48,-161,692,-174,-37
18881,19122113,-2208,37,-130,678,-163,-35
18882,19122123,-2194,14,-128,667,-167,-26
18883,19122133,-2172,-2,-115,658,-176,-24
18884,19122143,-2180,-24,-120,648,-179,-25
18885,19122153,-2176,-44,-107,635,-188,-38
18886,19122163,-2152,-65,-133,629,-199,-60
18887,19122173,-2166,-89,-168,625,-213,-89
18888,19122183,-2193,-108,-224,642,-210,-133
18889,19122193,-2154,-125,-205,698,-142,-205
18890,19122203,-2123,-143,-161,770,-105,-259
18891,19122213,-2113,-139,-130,782,-133,-310
18892,19122223,-2100,-106,-146,759,-174,-345
18893,19122233,-2061,-93,-136,769,-203,-361
18894,19122243,-2063,-76,-143,752,-245,-396
18895,19122253,-2084,-46,-167,781,-274,-432
18896,19122263,-2048,-43,-173,827,-310,-457
18897,19122273,-2045,-49,-193,901,-337,-479
18898,19122283,-2047,-49,-207,934,-353,-510
18899,19122293,-2053,-78,-201,989,-363,-544
18900,19122303,-2015,-100,-234,1019,-367,-569
18901,19122313,-2011,-88,-267,1016,-355,-768
18902,19122310,-2011,-88,-267,1016,-356,-613
18903,19122320,-2049,-65,-293,1025,-328,-674
18904,19122330,-2049,6,-302,1064,-319,-703
18905,19122340,-2045,1,-319,1160,-297,-700
18906,19122350,-2101,40,-283,1226,-280,-689
18907,19122360,-2087,22,-264,1293,-228,-705
18908,19122370,-2081,63,-294,1242,-220,-681
18909,19122380,-2069,38,-323,1209,-210,-679
18910,19122390,-2106,37,-376,1208,-190,-657
18911,19122400,-2063,2,-423,1197,-148,-667
18912,19122410,-1995,10,-403,1264,-48,-703
18913,19122420,-1991,43,-372,1315,0,-732
18914,19122430,-1987,74,-361,1363,15,-701
18915,19122440,-1985,102,-351,1395,16,-633
18916,19122450,-1951,133,-358,1421,21,-566
18917,19122460,-1963,76,-336,1422,25,-485
18918,19122470,-1893,76,-291,1426,51,-409
18919,19122480,-1836,52,-274,1452,34,-363
18920,19122490,-1851,26,-287,1457,-12,-310
18921,19122500,-1826,58,-313,1465,-47,-262
18922,19122510,-1804,64,-332,1539,-67,-208
18923,19122520,-1864,58,-392,1603,-78,-148
18924,19122530,-1939,-1,-464,1647,-80,-80
18925,19122540,-2018,-118,-488,1648,-88,-28
18926,19122550,-2051,-76,-591,1607,-67,-14
18927,19122560,-2054,-92,-584,1649,-8,-256
18928,19122557,-2054,-92,-584,1649,-9,-92
18929,19122567,-2038,-82,-580,1633,115,-71
18930,19122577,-1941,-78,-561,1535,199,-20
18931,19122587,-1950,-115,-589,1371,218,86
18932,19122597,-1982,-163,-634,1198,220,227
18933,19122607,-1893,-216,-680,1150,268,306
18934,19122617,-1846,-264,-720,1121,228,394
18935,19122627,-1835,-324,-782,1120,177,468
18936,19122637,-1827,-415,-835,1201,134,530
18937,19122647,-1827,-487,-942,1302,91,561
18938,19122657,-1859,-509,-997,1481,94,565
18939,19122667,-1827,-560,-948,1783,155,494
18940,19122677,-1877,-940,-1106,1958,190,514
18941,19122687,-2072,-832,-1091,1707,77,554
18942,19122697,-1899,-847,-1026,1745,90,349
18943,19122707,-1884,-626,-1022,1821,124,199
18944,19122717,-1813,-643,-836,2055,382,370
18945,19122727,-1769,-616,-688,2438,537,427
18946,19122737,-1872,-577,-669,2459,330,515
18947,19122747,-1922,-601,-687,2655,170,564
18948,19122757,-1969,-646,-632,2882,204,615
18949,19122767,-2023,-668,-490,2958,271,588
18950,19122777,-2013,-646,-400,2921,300,535
18951,19122787,-1986,-702,-315,2772,335,537
18952,19122797,-2022,-665,-266,2493,306,493
18953,19122807,-2011,-690,-248,2226,249,256
18954,19122803,-2011,-690,-248,2226,249,421
18955,19122813,-1983,-644,-248,1954,235,389
18956,19122823,-1932,-581,-288,1703,248,327
18957,19122833,-1941,-570,-282,1551,211,289
18958,19122843,-1931,-529,-298,1489,172,276
18959,19122853,-1873,-564,-298,1485,112,248
18960,19122863,-1863,-584,-335,1509,47,239
18961,19122873,-1893,-591,-347,1481,7,215
