timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12019789,-1724,2224,-2252,-823,4953,4693
12019799,-1543,1715,-1957,-92,5754,5391
12019809,-1351,1232,-1657,213,6298,5847
12019819,-1115,576,-1257,271,6309,5914
12019829,-950,268,-1107,-22,5954,5809
12019839,-939,46,-1131,-566,5434,5934
12019849,-965,50,-1379,-1024,5126,6108
12019859,-864,-301,-1301,-1147,4979,6187
12019869,-637,-354,-1249,-1510,4684,5926
12019879,-573,-3,-1322,-1802,4155,5473
12019889,-557,54,-1283,-1586,3852,5177
12019899,-433,-25,-1177,-904,3725,4863
12019909,-507,-221,-1116,-94,3486,4532
12019919,-405,-440,-854,488,3474,4220
12019929,-216,-896,-371,1072,3451,3884
12019939,70,-1236,-108,1211,3235,3540
12019949,293,-1453,177,921,2844,3134
12019959,630,-1576,330,479,2483,2848
12019969,1006,-1955,687,238,2270,2774
12019979,1326,-1962,890,-302,1815,2592
12019989,1418,-2083,1117,-850,1014,2049
12019986,1419,-2083,1117,-850,1014,2251
12019996,1373,-2285,1307,-1190,65,1784
12020006,1295,-2492,1431,-1993,-1136,1281
12020016,1133,-2718,1583,-2690,-2759,95
12020026,885,-2946,1773,-3653,-4855,-1492
12020036,240,-2471,1631,-4749,-7108,-3368
12020046,-436,-2006,1280,-4956,-8902,-5450
12020056,-1138,-1490,802,-4441,-10139,-7109
12020066,-1565,-1323,586,-3281,-10391,-8055
12020076,-1956,-1131,387,-2177,-10277,-8450
12020086,-2290,-1278,222,-997,-9961,-8702
12020096,-2546,-1767,51,171,-9666,-8843
12020106,-2800,-2307,-67,585,-9601,-8810
12020116,-3090,-2754,-150,341,-9594,-8867
12020126,-3706,-2792,-319,-622,-9550,-8952
12020136,-4265,-2561,-578,-1850,-9429,-8929
12020146,-4842,-2062,-882,-2889,-8954,-8909
12020156,-5431,-1311,-1551,-3547,-8119,-8877
12020166,-6062,-709,-2490,-3983,-7095,-8819
12020176,-6486,751,-3655,-4775,-6050,-8458
12020186,-6177,1752,-4272,-4820,-4058,-7602
12020196,-5609,2035,-4317,-3630,-1493,-6022
12020206,-4555,1217,-3549,-2039,1005,-3992
12020216,-3837,601,-2777,-944,2701,-2294
12020226,-3778,75,-2183,-353,3327,-1257
12020236,-3438,22,-1711,-258,3810,-1281
12020233,-3438,21,-1711,-258,3809,-1177
12020243,-3361,-60,-1631,-378,4021,-1078
12020253,-3298,-213,-1579,-493,4292,-713
12020263,-3213,-77,-1642,-733,4517,-527
12020273,-3063,91,-1615,-1013,4504,-629
12020283,-2983,429,-1619,-1005,4435,-1026
12020293,-2838,710,-1421,-1186,4703,-1313
12020303,-2660,826,-1133,-808,5215,-1349
12020313,-2511,1304,-1016,-729,5418,-1419
12020323,-2468,1746,-978,-337,5318,-1701
12020333,-2252,2014,-887,539,5261,-1876
12020343,-2048,2007,-897,1336,4770,-2053
12020353,-1721,2299,-887,2024,4174,-2361
12020363,-1465,2402,-825,2131,3527,-2159
12020373,-1376,2341,-897,2274,2936,-1598
12020383,-1350,2210,-1001,2111,2466,-776
